2грамма	частота*100000
о 	2072,55
и 	1773,87
а 	1649,20
е 	1562,51
 с	1535,12
 п	1520,17
 в	1495,89
 н	1454,80
то	1321,57
 о	1195,81
я 	1104,45
 к	1096,51
 и	1063,67
ст	1038,30
ь 	1027,72
на	1018,85
го	895,89
ал	882,97
не	862,73
по	848,88
но	830,67
ра	829,89
ко	818,84
ов	798,76
л 	782,89
й 	760,48
ка	748,80
 б	731,53
м 	726,70
во	696,35
 д	683,90
ро	682,65
ер	675,18
 т	674,41
ол	671,76
ен	668,34
он	666,78
от	666,31
ни	655,26
ос	646,86
у 	643,90
ла	639,39
ли	630,20
ло	622,42
ор	614,64
в 	608,72
ел	592,07
ре	592,07
пр	590,82
ва	576,66
 м	569,50
за	541,02
та	535,26
ри	517,52
 г	512,07
ан	509,73
 ч	509,42
ил	488,26
к 	488,10
ть	487,79
ом	481,87
ат	465,69
ск	464,29
ог	461,80
т 	454,48
те	453,70
н 	444,67
од	442,96
 р	432,07
ы 	428,33
ак	427,24
де	426,31
ве	417,59
 з	406,23
да	401,09
аз	397,67
 е	380,08
 у	376,19
ем	372,14
ас	371,99
же	369,50
ле	363,90
ой	357,36
ет	355,02
бы	354,40
мо	349,73
до	348,33
ми	343,82
ль	343,51
ес	342,42
ав	341,02
чт	339,77
ти	333,86
ю 	333,08
ег	332,92
ня	332,61
ит	328,56
сь	328,25
ви	326,54
ин	317,51
х 	310,98
ру	304,13
об	303,82
ны	303,19
ся	302,26
с 	302,10
вс	296,50
че	293,86
 а	292,77
нн	284,67
им	280,94
тр	279,69
ис	277,67
ая	277,05
ма	274,24
ди	271,29
ме	269,26
ар	267,40
ам	267,09
се	266,93
вы	264,91
ну	263,04
 л	262,10
ив	258,21
ки	249,34
 э	245,45
со	244,05
пе	242,18
ед	240,63
ие	232,84
сл	229,11
ей	228,33
кн	225,84
хо	224,13
бо	220,24
ыл	217,28
му	217,12
ше	215,72
эт	215,57
ча	211,68
ад	211,05
тв	210,27
ое	209,65
др	202,65
бе	196,89
ши	190,98
уд	190,82
ту	174,32
ид	171,05
ля	171,05
кр	170,90
св	170,43
сп	167,32
их	166,69
