 	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
а	38,58	136,90	698,59	124,10	479,70	19,48	159,16	645,91	38,77	20,03	902,08	774,64	334,83	1221,51	23,00	137,27	993,72	174,00	648,88	19,66	21,70	119,28	67,34	253,02	162,87	48,23	0,00	7,61	68,08	0,00	14,47	32,83	
б	158,23	3,52	24,86	4,27	9,46	219,45	6,68	20,03	142,28	41,37	64,37	41,55	29,49	34,32	504,19	0,19	21,15	21,33	32,09	84,40	0,37	16,51	0,93	1,48	1,67	0,00	0,00	85,52	52,87	0,19	49,16	55,09	
в	582,10	6,12	46,37	16,51	117,61	344,47	2,97	97,94	524,78	73,83	62,33	80,69	81,62	55,28	1203,33	0,19	43,96	227,61	299,58	159,71	2,60	48,60	5,19	1,11	3,15	0,00	0,19	173,44	141,54	0,74	34,32	166,76	
г	171,77	2,23	41,18	1,30	9,27	454,29	3,34	56,21	128,74	37,29	20,96	46,56	44,52	34,32	615,30	1,67	36,91	13,36	16,14	169,55	0,56	17,25	3,90	0,56	0,00	0,00	0,00	23,93	35,99	1,11	14,10	71,05	
д	326,48	2,04	70,68	109,82	5,56	372,48	75,68	86,81	297,91	71,79	29,87	80,69	35,99	153,22	627,91	0,19	51,94	51,20	40,62	259,70	0,56	15,21	2,04	0,56	1,30	0,19	0,00	28,57	42,66	0,56	57,13	140,42	
е	153,59	235,95	513,65	70,30	511,05	204,61	441,67	25,78	326,85	12,61	64,74	481,56	335,20	1035,27	311,45	289,01	707,68	403,46	559,09	28,38	16,51	10,57	128,74	350,22	257,10	140,61	26,34	116,86	153,41	0,00	7,98	46,93	
ж	153,41	0,93	2,97	0,00	2,23	133,74	1,48	20,78	61,21	12,24	16,69	43,04	12,06	5,94	230,39	0,00	43,78	10,57	6,49	156,19	0,00	4,27	0,19	0,00	0,00	0,00	0,00	7,05	7,61	0,00	7,79	71,79	
з	519,03	0,37	76,05	7,61	5,19	196,44	0,93	11,50	255,25	16,14	9,46	19,11	20,03	21,15	165,47	0,00	6,68	12,43	13,91	117,42	0,74	7,98	0,93	0,56	0,19	0,00	0,00	23,74	45,45	0,37	12,24	214,81	
и	157,49	90,52	420,16	103,14	332,79	145,43	131,52	42,29	199,97	60,29	329,63	795,23	480,63	818,42	229,65	89,23	628,10	206,28	432,96	66,78	77,54	48,42	28,75	140,05	228,35	77,17	0,00	46,37	101,10	0,00	35,24	104,44	
й	90,52	0,00	0,00	0,00	0,00	272,13	0,00	0,19	168,80	0,19	0,19	0,19	0,00	0,00	425,91	0,00	0,19	0,19	0,37	11,13	0,00	0,19	0,00	0,00	0,00	0,00	0,00	178,08	0,19	1,30	0,00	2,23	
к	651,84	30,24	73,27	18,74	33,58	218,33	11,32	33,76	319,62	80,14	44,89	185,87	70,86	51,94	322,40	7,98	40,62	577,27	74,39	185,68	2,78	25,04	21,89	27,64	48,97	0,00	0,00	53,79	216,11	6,31	30,79	119,28	
л	1086,47	89,60	129,48	192,73	74,20	745,52	0,19	24,11	612,33	41,55	49,53	26,34	28,94	4,08	837,34	84,40	8,90	280,85	39,51	186,61	11,50	21,70	0,93	4,27	54,17	0,00	0,00	263,59	17,25	9,83	12,80	121,13	
м	409,21	8,16	35,06	5,01	14,84	553,34	2,97	34,87	394,00	46,00	23,00	12,80	27,27	12,43	656,85	0,00	30,61	124,84	24,30	152,11	1,11	20,78	2,23	0,56	3,34	0,00	0,00	198,30	70,49	1,48	18,18	72,72	
н	788,74	31,53	211,47	44,33	207,02	944,01	124,28	190,88	570,22	96,83	321,66	110,37	202,75	396,41	1042,69	6,31	89,78	122,61	155,26	117,98	2,41	40,81	5,56	55,65	40,81	3,52	0,00	93,12	227,61	5,75	38,58	225,57	
о	147,29	270,46	876,30	1076,27	421,45	161,38	5,75	90,34	207,20	62,51	1019,13	853,48	478,22	1028,04	234,84	1012,27	823,62	308,67	1606,98	44,71	7,79	293,09	51,57	13,36	39,51	0,00	0,00	35,80	87,93	0,00	23,00	86,81	
п	271,39	0,56	106,11	9,83	23,74	314,24	1,48	19,11	256,36	84,77	39,33	92,38	102,95	68,08	353,93	9,46	24,30	230,58	54,54	131,15	2,23	39,33	3,90	1,30	8,16	0,00	0,00	66,22	104,44	1,11	32,46	115,19	
р	373,04	142,46	80,14	162,68	245,79	854,97	0,00	24,11	143,95	41,74	213,32	35,80	25,41	16,69	787,44	704,15	9,27	44,52	343,36	84,59	58,06	21,89	0,56	3,34	0,56	0,37	0,00	51,75	27,08	5,94	23,93	30,79	
с	632,92	9,65	425,16	15,58	46,00	604,73	3,15	34,13	535,17	173,44	62,33	237,44	107,22	99,98	990,94	1,11	47,86	127,25	145,06	235,21	2,97	43,96	4,08	2,78	1,30	0,19	0,00	134,49	217,96	8,72	49,53	217,41	
т	640,53	1,11	79,39	4,82	38,77	505,67	1,30	7,23	471,35	65,11	72,34	36,91	33,02	92,38	902,64	6,12	80,51	1269,93	37,84	201,64	1,67	14,47	1,85	406,06	19,11	0,19	0,00	84,59	58,25	257,66	64,37	222,97	
у	55,46	138,38	108,70	96,09	193,85	58,25	22,82	33,20	55,65	24,67	191,25	154,52	279,55	332,60	59,92	80,88	368,77	102,95	222,04	16,69	9,27	22,07	58,25	67,89	33,95	7,98	0,00	12,43	23,19	0,00	10,02	25,41	
ф	71,23	0,00	1,67	0,74	3,34	7,05	0,00	0,37	14,65	5,94	2,60	3,52	5,19	2,41	69,38	0,19	4,82	5,19	4,64	4,82	0,56	2,41	0,00	0,00	0,19	0,00	0,00	1,48	4,27	0,00	2,41	5,19	
х	127,62	5,75	7,98	0,37	6,49	142,65	0,56	0,56	213,88	5,01	5,01	2,97	9,27	5,56	79,39	0,00	17,44	23,00	5,94	47,12	0,00	0,93	0,37	0,19	0,00	0,00	0,00	107,03	12,06	0,56	2,23	23,37	
ц	15,77	0,74	7,23	0,00	19,48	33,39	0,00	1,30	172,89	5,94	3,15	0,56	4,64	67,89	14,84	0,19	11,50	2,78	14,28	1,30	0,00	0,74	0,00	0,00	0,19	0,00	0,00	1,11	11,32	0,19	6,86	5,94	
ч	129,66	3,34	23,93	3,34	8,16	156,38	5,94	4,64	197,00	35,06	15,58	66,78	46,93	31,72	259,70	0,93	11,50	42,85	40,07	120,39	0,19	7,79	0,37	0,37	0,56	0,00	0,00	25,60	49,34	0,00	23,37	51,75	
ш	127,44	0,74	154,71	1,30	13,17	96,27	0,00	2,97	58,62	18,92	2,78	7,42	8,16	6,49	165,09	1,67	28,20	9,46	2,60	93,49	0,00	2,60	0,00	8,53	0,56	0,00	0,00	63,26	51,57	0,19	11,32	6,68	
щ	28,01	19,48	0,93	0,00	0,00	77,17	0,00	0,19	13,73	1,11	0,37	0,56	0,56	17,25	15,95	0,00	7,61	0,19	2,60	23,74	0,00	0,19	0,00	0,00	0,00	0,00	0,00	0,56	1,11	0,00	51,75	17,81	
ъ	0,00	8,35	1,85	0,00	33,76	0,00	0,00	1,85	0,19	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,48	4,64	0,00	0,00	0,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
ы	0,00	422,38	315,91	0,37	77,91	0,00	0,00	63,07	0,00	0,00	0,00	144,32	73,83	361,35	0,00	23,19	169,55	47,12	183,09	0,00	2,23	0,00	13,91	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
ь	0,00	5,56	19,29	0,00	57,50	0,00	4,08	129,11	0,19	0,00	0,00	409,40	2,97	118,35	0,19	69,56	94,98	391,22	581,35	0,00	0,19	0,00	0,00	23,00	38,21	2,23	0,00	0,00	0,00	0,00	0,00	0,00	
э	34,69	3,34	33,95	2,04	2,04	28,94	1,85	3,34	25,78	6,86	9,09	9,65	7,98	3,52	40,81	0,37	1,85	6,86	14,47	12,24	0,19	4,08	0,37	0,37	0,00	0,19	0,00	7,23	19,66	0,19	4,45	15,77	
ю	92,75	0,74	0,56	1,11	1,85	41,37	2,41	13,36	34,87	1,11	2,23	97,94	7,61	17,99	88,11	0,00	24,67	15,21	7,23	118,72	0,00	0,00	0,00	0,00	0,00	0,00	20,22	0,19	42,29	0,00	4,64	11,13	
я	350,96	55,84	17,25	0,93	43,96	61,03	1,30	61,21	205,72	9,27	7,42	207,57	59,17	399,94	108,70	42,11	127,25	362,47	65,48	15,58	0,56	2,78	0,37	0,37	0,00	0,00	5,75	6,49	56,58	0,00	5,19	33,20	
