 	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
а	31,91	133,93	691,17	119,46	483,41	20,78	146,54	637,75	35,24	18,92	927,12	770,56	329,82	1200,92	24,86	140,61	1006,52	173,26	649,62	20,40	21,52	118,35	62,70	245,60	168,80	48,23	0,00	7,79	71,60	0,00	11,50	35,24	
б	157,67	4,08	24,86	4,45	8,90	216,66	6,68	22,63	135,79	43,04	67,52	43,78	29,31	36,73	506,41	0,00	23,74	22,63	34,13	83,10	0,37	19,66	0,74	1,85	2,23	0,00	0,00	85,70	56,76	0,37	50,46	58,99	
в	592,86	4,82	44,89	17,44	116,86	343,92	3,71	100,91	518,28	67,15	56,39	76,80	79,76	60,84	1206,86	0,37	41,18	231,87	300,88	155,08	2,60	56,39	5,56	1,85	2,97	0,00	0,00	175,48	137,64	1,11	33,76	166,95	
г	176,97	2,60	39,70	1,48	8,16	445,57	4,45	55,65	132,08	43,41	18,55	46,75	44,89	35,99	624,39	2,23	31,91	10,39	14,47	161,38	1,11	17,07	3,71	0,74	0,00	0,00	0,00	24,49	36,73	0,74	13,73	72,72	
д	333,53	3,34	74,20	106,48	3,71	388,81	73,46	90,89	293,83	73,09	27,45	77,17	35,62	155,82	647,02	0,00	53,79	51,94	39,33	266,38	0,37	16,32	1,85	0,74	1,11	0,00	0,00	25,97	40,81	0,74	60,84	142,83	
е	151,37	226,31	524,96	72,72	505,30	206,28	445,20	25,60	340,58	11,13	69,01	476,36	337,24	1062,54	305,70	285,30	684,49	407,36	555,01	27,45	17,07	10,02	122,80	356,90	266,38	143,21	28,57	120,95	156,93	0,00	8,16	45,26	
ж	152,48	1,11	3,34	0,00	2,23	140,24	1,11	24,49	66,78	14,47	17,07	41,92	10,76	5,56	224,82	0,00	44,52	10,39	6,31	161,76	0,00	3,71	0,00	0,00	0,00	0,00	0,00	7,42	6,31	0,00	7,42	70,49	
з	514,95	0,37	71,60	8,16	4,82	186,61	1,11	12,61	255,25	20,78	10,02	18,92	17,44	20,78	166,21	0,00	7,79	12,61	15,21	122,43	0,74	4,82	1,48	0,37	0,37	0,00	0,00	23,37	42,66	0,00	10,76	214,81	
и	153,59	89,41	430,36	101,65	329,08	142,83	133,56	40,44	188,10	58,25	314,98	793,19	484,89	828,44	227,42	86,07	629,96	205,16	441,12	74,57	73,09	43,78	30,79	144,69	232,24	80,51	0,00	44,15	104,99	0,00	35,99	107,96	
й	88,67	0,00	0,00	0,00	0,00	276,39	0,00	0,37	160,27	0,00	0,00	0,00	0,00	0,00	433,33	0,00	0,00	0,37	0,37	9,27	0,00	0,00	0,00	0,00	0,00	0,00	0,00	178,82	0,00	0,74	0,00	2,23	
