 	 	а	б	в	г	д	е	ё	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
 	0,00	1649,20	23,97	608,72	84,05	108,80	1562,51	62,57	20,39	112,06	1773,87	760,48	488,10	782,89	726,70	444,67	2072,55	3,27	126,85	302,10	454,48	643,90	18,37	310,98	26,93	16,03	11,05	1,09	0,16	428,33	1027,72	4,20	333,08	1104,45	
а	292,77	1,56	114,09	576,66	102,88	401,09	0,93	0,00	133,54	541,02	7,00	0,16	748,80	639,39	274,24	1018,85	0,78	115,18	829,89	140,24	535,26	1,87	17,74	96,50	56,19	211,68	136,34	40,47	0,00	0,00	1,25	0,00	0,00	0,16	
б	731,53	66,15	2,49	0,93	0,00	3,42	104,13	0,00	4,98	14,32	48,25	1,40	0,16	2,33	0,31	1,09	303,82	0,00	12,30	4,20	2,80	50,58	0,00	0,00	0,00	0,00	0,00	0,00	0,00	49,49	10,43	0,00	30,66	3,27	
в	1495,89	341,02	3,89	2,18	7,63	91,36	131,83	0,00	0,00	74,86	258,21	0,00	16,81	0,93	0,00	0,93	798,76	0,00	25,84	170,43	210,27	83,11	0,00	12,76	1,87	0,00	1,56	0,00	0,00	106,15	0,93	0,00	0,00	26,30	
г	512,07	94,79	1,87	2,18	0,00	0,93	332,92	0,00	2,33	42,96	47,78	0,31	0,31	14,79	6,07	16,50	461,80	1,40	27,86	1,09	0,93	122,49	0,00	0,00	2,65	0,00	0,00	0,00	0,00	11,05	4,05	0,78	0,16	29,57	
д	683,90	211,05	1,40	27,24	86,07	2,02	240,63	0,00	62,41	66,15	171,05	17,90	1,87	32,69	0,16	111,75	442,96	0,00	39,69	30,51	12,92	190,82	0,00	0,00	0,31	0,00	0,00	0,00	0,00	7,94	3,58	0,16	34,40	70,97	
е	380,08	85,45	196,89	417,59	56,81	426,31	143,82	0,00	369,50	20,70	232,84	1,25	47,00	363,90	269,26	862,73	209,65	242,18	592,07	266,93	453,70	14,63	13,70	3,89	107,08	293,86	215,72	117,98	22,10	88,87	91,83	0,00	0,00	9,49	
ё	0,16	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,31	0,62	0,00	0,00	0,00	0,00	0,00	65,84	0,16	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
ж	166,07	118,91	0,47	0,00	0,00	1,25	92,92	0,00	1,25	17,12	38,44	0,00	1,09	33,00	0,00	2,65	158,45	0,00	36,42	2,18	0,16	125,14	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,96	0,00	0,00	0,62	50,74	
з	406,23	397,67	0,16	51,05	0,16	0,47	108,02	0,16	0,00	7,78	164,98	0,00	0,78	0,62	0,31	1,71	87,16	0,00	3,27	4,98	0,62	85,76	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,67	12,92	0,16	2,65	152,22	
и	1063,67	12,14	73,31	326,54	81,09	271,29	16,19	0,00	109,26	31,13	62,57	0,00	249,34	630,20	343,82	655,26	77,82	74,55	517,52	164,36	333,86	1,71	63,04	15,25	22,26	116,11	190,98	64,44	0,00	1,40	7,47	0,00	0,00	1,40	
й	2,65	75,80	0,00	0,00	0,00	0,00	228,33	0,00	0,00	0,16	141,17	0,16	0,00	0,00	0,00	0,00	357,36	0,00	0,00	0,00	0,00	9,03	0,00	0,00	0,00	0,00	0,00	0,00	0,00	149,26	0,00	0,78	0,00	1,87	
к	1096,51	427,24	24,59	12,45	10,43	20,55	98,37	0,00	8,40	16,19	165,45	4,05	0,93	78,13	6,69	21,79	166,54	6,07	25,21	464,29	34,40	98,68	1,09	0,00	17,12	22,26	40,78	0,00	0,00	18,21	108,80	5,14	0,47	7,47	
л	262,10	882,97	75,18	92,92	161,56	60,86	592,07	0,16	0,16	17,59	488,26	22,57	35,49	11,52	7,47	0,31	671,76	70,82	6,07	229,11	26,93	148,33	9,18	6,07	0,47	3,58	45,45	0,00	0,00	217,28	0,00	8,09	3,89	87,32	
м	569,50	267,09	6,23	14,01	1,09	8,72	372,14	0,16	1,09	25,68	280,94	4,67	0,16	0,93	1,56	0,31	481,87	0,00	23,04	96,97	4,67	97,90	0,47	5,45	0,00	0,00	2,02	0,00	0,00	144,59	33,93	0,78	2,49	32,53	
н	1454,80	509,73	24,90	134,01	29,26	163,11	668,34	0,00	101,95	150,97	317,51	34,24	225,84	24,90	111,60	284,67	666,78	5,14	64,13	70,20	87,47	30,19	0,00	14,79	2,65	45,76	32,84	2,80	0,00	34,40	100,23	4,67	8,09	60,08	
о	1195,81	0,62	220,24	696,35	895,89	348,33	24,44	0,00	3,42	68,48	26,93	1,25	818,84	622,42	349,73	830,67	18,83	848,88	682,65	244,05	1321,57	1,25	5,76	224,13	40,93	9,34	32,69	0,00	0,00	0,31	4,36	0,00	0,00	0,00	
п	1520,17	72,69	0,00	30,51	0,00	9,49	93,70	0,00	0,00	3,42	21,63	0,00	0,00	10,27	22,26	1,25	109,26	7,94	4,36	167,32	6,07	54,48	0,00	0,16	0,00	0,00	5,45	0,00	0,00	12,30	0,00	0,93	0,00	1,56	
р	432,07	267,40	119,38	46,85	134,48	202,65	675,18	0,47	0,00	14,63	66,62	5,60	170,90	0,00	4,20	3,89	614,64	590,82	4,98	25,84	279,69	56,81	47,78	7,32	0,00	2,02	0,31	0,16	0,00	34,55	0,00	4,51	6,54	3,89	
с	1535,12	371,99	6,85	296,50	3,74	26,46	342,42	0,00	2,02	14,63	277,67	64,90	7,00	134,63	13,07	40,00	646,86	0,31	23,50	74,40	80,47	138,37	0,62	3,89	0,16	0,00	0,16	0,00	0,00	77,20	87,16	7,00	14,47	86,38	
т	674,41	465,69	0,78	20,08	2,18	28,95	355,02	3,58	0,00	1,25	328,56	29,88	39,38	4,20	5,60	59,46	666,31	4,82	63,81	1038,30	10,58	141,95	0,78	2,49	0,31	339,77	15,88	0,00	0,00	53,07	11,21	215,57	41,87	139,92	
у	376,19	13,54	114,55	79,07	77,98	160,00	6,54	0,00	18,83	25,84	0,31	0,00	151,29	117,20	217,12	263,04	5,29	67,86	304,13	71,60	174,32	0,47	7,00	11,98	48,56	56,97	28,48	6,69	0,00	0,47	0,00	0,00	0,00	0,00	
ф	77,51	50,58	0,00	0,00	0,00	1,25	1,40	0,00	0,00	0,00	1,71	0,00	0,00	0,78	0,16	0,93	46,54	0,16	2,18	1,71	1,40	0,62	0,47	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,62	0,00	0,00	0,16	
