 	 	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
 	0,00	1645,78	22,41	603,90	80,93	113,00	1640,80	20,23	107,71	1711,77	750,20	482,81	784,76	727,79	455,10	2046,72	1,87	126,69	302,88	439,23	656,19	17,74	315,65	24,59	18,68	9,65	0,31	0,00	435,49	1026,32	4,36	331,21	1069,27	
а	298,21	1,25	109,88	592,07	102,10	393,47	1,56	142,57	549,11	8,72	0,31	730,90	637,21	284,52	1002,66	0,93	120,16	824,60	138,52	532,61	1,56	17,12	95,88	53,54	211,68	129,50	41,71	0,00	0,00	0,93	0,00	0,00	0,00	
б	735,57	59,14	2,80	1,56	0,00	3,74	105,84	5,29	15,56	43,58	1,56	0,31	3,11	0,00	1,25	291,37	0,00	9,03	3,42	2,80	44,51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	50,43	10,90	0,00	30,51	1,87	
в	1500,41	332,14	4,67	1,87	8,72	90,27	136,66	0,00	77,20	256,81	0,00	17,12	0,31	0,00	0,00	800,01	0,00	24,59	171,52	208,87	85,29	0,00	14,63	1,87	0,00	1,87	0,00	0,00	103,04	0,62	0,00	0,00	27,08	
г	520,78	101,17	3,11	2,18	0,00	1,25	335,26	1,25	42,34	46,69	0,00	0,31	16,19	6,23	15,25	453,55	1,87	28,95	1,56	1,56	122,02	0,00	0,00	3,11	0,00	0,00	0,00	0,00	11,52	4,05	0,62	0,31	31,44	
д	686,70	214,48	0,93	26,46	89,03	2,49	245,61	60,39	64,44	170,90	17,12	1,87	32,37	0,31	114,24	437,36	0,00	37,35	31,75	14,94	192,38	0,00	0,00	0,31	0,00	0,00	0,00	0,00	7,47	4,05	0,00	35,18	67,86	
е	367,63	84,05	196,11	416,50	50,12	422,73	140,39	376,66	17,43	233,78	0,62	48,56	364,52	273,31	860,40	205,76	237,51	588,33	333,39	462,26	17,43	14,63	3,74	103,97	288,88	218,21	107,39	20,23	85,29	87,16	0,00	0,00	9,03	
ж	163,11	116,11	0,31	0,00	0,00	0,62	91,21	1,25	18,37	38,60	0,00	0,93	29,88	0,00	1,87	160,00	0,00	32,69	3,11	0,31	128,25	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,80	0,00	0,00	0,62	48,87	
з	397,83	401,56	0,00	49,49	0,31	0,62	112,37	0,00	6,85	169,03	0,00	0,31	0,62	0,31	1,87	80,00	0,00	1,56	2,80	0,62	89,65	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,05	13,70	0,00	2,49	148,48	
и	1094,49	10,90	74,71	327,16	78,44	278,29	14,63	105,53	31,44	67,86	0,00	265,84	621,02	352,07	666,78	82,80	74,71	502,11	158,45	339,93	1,87	58,52	14,63	18,37	121,71	187,71	58,21	0,00	1,56	7,78	0,00	0,00	1,56	
й	3,42	77,51	0,00	0,00	0,00	0,00	223,19	0,00	0,31	142,26	0,31	0,00	0,00	0,00	0,00	366,39	0,00	0,00	0,00	0,00	7,47	0,00	0,00	0,00	0,00	0,00	0,00	0,00	153,15	0,00	0,93	0,00	1,87	
к	1104,14	433,00	27,08	10,90	8,40	17,12	99,61	7,47	16,50	165,92	4,05	1,25	83,11	6,85	18,05	165,61	4,67	20,55	478,45	33,62	98,37	0,31	0,00	17,74	23,66	37,67	0,00	0,00	18,99	102,41	4,67	0,31	7,47	
