о	11,368	е	10,835	ш	10,609	с	12,867	б	11,512	ы	11,287	ы	12,190	й	11,512	у	11,964	ы	10,835	у	11,287	п	14,673	у	13,093	ц	9,932	о	13,995	
а	8,386	ь	7,901	б	9,932	х	7,675	ы	8,578	т	7,901	т	9,481	а	8,804	к	8,804	н	8,578	к	10,835	ж	8,126	н	8,804	с	8,578	е	10,384	
е	7,967	ч	7,675	а	6,772	и	7,675	у	7,449	я	7,223	н	8,126	ы	7,449	ч	7,675	х	6,772	е	6,998	у	7,901	х	6,321	я	6,772	н	7,675	
и	6,648	й	7,675	у	6,321	р	6,998	ш	7,223	ю	6,546	х	6,546	и	6,095	т	5,869	я	6,772	н	6,321	о	7,901	ч	6,321	б	6,772	р	6,998	
н	6,515	и	6,546	ы	6,321	г	6,546	д	7,223	н	6,095	я	6,546	м	6,095	н	5,869	т	6,321	ц	6,095	й	5,869	т	5,869	ю	6,321	и	6,772	
т	5,680	в	5,643	ю	6,095	л	6,321	е	6,998	ъ	5,869	ъ	5,869	н	6,095	ц	4,515	ю	5,418	ч	6,095	м	5,643	е	5,869	г	6,321	а	5,643	
с	5,218	д	5,643	д	5,418	т	4,515	а	6,321	э	5,643	ш	5,418	ж	5,418	е	4,515	щ	5,192	т	5,643	б	5,418	к	5,869	у	5,643	т	5,418	
л	5,060	я	5,418	г	5,192	е	4,515	г	4,740	х	5,192	ю	4,966	з	4,515	з	4,515	ъ	4,966	р	4,966	т	4,966	с	4,740	а	5,418	л	5,192	
в	4,605	щ	4,966	е	5,192	з	4,289	х	4,289	ь	4,289	э	4,740	о	4,515	р	4,289	а	4,966	ф	4,515	г	4,063	р	4,515	щ	4,966	в	4,515	
р	4,558	г	4,289	х	3,837	у	3,837	ю	4,289	щ	4,063	щ	4,515	г	4,063	х	4,289	ш	4,740	х	4,063	с	3,837	з	4,515	в	4,740	с	4,063	
к	3,585	з	3,160	э	3,386	ц	3,837	ч	3,160	п	3,837	п	3,386	э	3,837	п	4,289	п	4,289	з	4,063	е	3,612	ц	3,612	ь	4,063	к	3,612	
д	3,040	у	2,935	ж	3,386	н	3,837	я	3,160	ш	3,612	м	2,709	л	3,612	д	4,063	ь	3,612	п	3,612	н	3,160	д	3,386	э	4,063	у	2,709	
м	2,957	ц	2,935	я	2,483	ф	3,612	т	2,709	а	3,612	ц	2,483	к	2,935	ш	3,160	р	2,935	й	2,709	р	2,483	п	3,160	х	3,837	м	2,709	
у	2,867	ъ	2,935	ц	2,257	о	3,612	э	2,709	м	3,160	й	2,257	т	2,709	б	2,483	э	2,709	с	2,257	ф	2,483	ш	2,935	д	3,386	п	2,709	
п	2,569	ж	2,709	ч	2,257	п	3,612	в	2,257	с	2,709	о	2,257	ъ	2,709	м	2,483	ф	2,483	ж	2,257	а	2,257	ф	2,709	ы	3,160	д	2,483	
я	2,314	ю	2,483	ъ	2,257	в	2,483	о	2,032	ч	2,709	с	2,032	ч	2,483	с	2,257	д	2,032	и	2,257	д	2,257	б	2,483	р	2,257	ы	1,806	
г	2,073	б	2,483	ь	2,257	д	2,257	п	2,032	д	2,709	ч	2,032	ь	2,483	ф	2,257	м	2,032	м	2,032	к	2,032	о	2,032	т	2,032	ь	1,806	
ь	1,947	к	2,257	в	2,257	ж	2,032	щ	1,806	й	2,709	ь	2,032	е	2,483	й	2,257	о	2,032	ш	1,806	л	2,032	и	1,806	н	2,032	б	1,580	
