1грамма	частота
о	0.11083124480503444
е	0.08537234432362502
а	0.08124051263702754
н	0.06577262991284212
и	0.06504693169526095
т	0.06079994304972821
с	0.05323978400748327
л	0.04843082940234641
в	0.04623070335781584
р	0.04512142777883573
к	0.03312332891551447
м	0.031608700841082214
д	0.031145979242451403
у	0.028739826929571187
п	0.02659078869955008
ы	0.02003144831859712
я	0.019544857823023364
ь	0.019425094585730683
г	0.01812277406831727
б	0.01792428534637066
з	0.016686871478538944
ч	0.014174356010866343
й	0.011873310595060214
ж	0.011641740419456795
ш	0.008607459239669496
х	0.0081250562698772
ю	0.006366295442506464
ц	0.004264995006375605
э	0.003979405748216727
щ	0.0038918864594261037
ф	0.001863030219279828
ъ	1.7713234047097198E-4
ё	5.025030935346695E-6
