2грамма	частота
о 	0.020725549890115363
и 	0.01773874227227732
а 	0.016492034142059356
е 	0.015625097277475828
 с	0.015351163905542793
 п	0.015201745702670228
 в	0.01495894112300231
 н	0.014548041065102756
то	0.01321572875615572
 о	0.011958125548644965
я 	0.01104449549566376
 к	0.01096511707538771
 и	0.010636708316990717
ст	0.010383008660030009
ь 	0.010277170766328609
на	0.010188453708373022
го	0.008958866413900873
ал	0.008829681926000634
не	0.00862734477627737
по	0.008488821650697597
но	0.008306718215946658
ра	0.008298936017880378
ко	0.008188428805339211
ов	0.007987648095229201
л 	0.007828891254677102
й 	0.007604763950368253
ка	0.0074880309793740624
 б	0.007315266182302659
м 	0.0072670165542917265
во	0.006963510829706829
 д	0.006838995660646358
ро	0.006826544143740311
ер	0.006751835042304029
 т	0.0067440528442377495
ол	0.006717593370812399
ен	0.006683351699320769
он	0.006667787303188211
от	0.0066631179843484436
ни	0.006552610771807276
ос	0.006468563032691457
у 	0.006438990680039596
ла	0.006393853931255175
ли	0.006302023994073078
ло	0.006224202013410284
ор	0.0061463800327474895
в 	0.0060872353274437655
ел	0.005920696288825386
ре	0.005920696288825386
пр	0.005908244771919339
ва	0.005766608767113054
 м	0.005695012544903283
за	0.005410184095677456
та	0.005352595829986988
ри	0.005175161714075817
 г	0.005120686327611861
ан	0.005097339733413023
 ч	0.005094226854186511
ил	0.004882551066783711
к 	0.004880994627170455
ть	0.0048778817479439435
ом	0.0048187370426402195
ат	0.0046568673228616075
ск	0.004642859366342305
ог	0.00461795633253021
т 	0.004544803670707184
те	0.004537021472640904
н 	0.004446747975072063
од	0.004429627139326249
 р	0.004320676366398337
ы 	0.004283321815680195
ак	0.004272426738387404
де	0.004263088100707869
ве	0.004175927482365539
 з	0.00406230739059786
да	0.004010944883360415
аз	0.003976703211868786
 е	0.003800825535570871
 у	0.0037619145452394737
ем	0.0037214471152948207
ас	0.003719890675681565
же	0.0036949876418694706
ле	0.003638955815792259
ой	0.0035735853520355116
ет	0.0035502387578366735
бы	0.00354401299938365
мо	0.0034973198109859733
до	0.0034833118544666704
ми	0.0034381751056822498
ль	0.003435062226455738
ес	0.003424167149162947
ав	0.003410159192643644
чт	0.0033977076757375968
ти	0.0033385629704338732
ю 	0.0033307807723675937
ег	0.003329224332754338
ня	0.003326111453527826
ит	0.003285644023583173
сь	0.003282531144356661
ви	0.0032654103086108464
ин	0.003175136811042005
х 	0.003109766347285258
ру	0.003041283004301999
об	0.0030381701250754875
ны	0.0030319443666224637
ся	0.0030226057289429284
с 	0.0030210492893296727
вс	0.0029650174632524606
че	0.0029385579898271105
 а	0.0029276629125343195
нн	0.0028467280526450135
им	0.0028093735019268725
тр	0.0027969219850208253
ис	0.0027766882700484986
ая	0.002770462511595475
ма	0.0027424465985568694
ди	0.0027128742459050074
ме	0.0026926405309326807
ар	0.00267396325557361
ам	0.0026708503763470987
се	0.0026692939367338425
вы	0.0026490602217615162
ну	0.0026303829464024457
 л	0.00262104430872291
ив	0.002582133318391513
ки	0.0024934162604359276
 э	0.0024545052701045304
со	0.0024404973135852275
пе	0.002421820038226157
ед	0.002406255642093598
ие	0.0023284336614308038
сл	0.0022910791107126627
ей	0.002283296912646383
кн	0.002258393878834289
хо	0.0022412730430884744
бо	0.002202362052757077
ыл	0.002172789700105215
му	0.0021712332604919594
ше	0.0021572253039726565
эт	0.0021556688643594004
ча	0.0021167578740280035
ад	0.0021105321155749797
тв	0.0021027499175087006
ое	0.002096524159055677
др	0.0020264843764591623
бе	0.0019688961107686945
ши	0.0019097514054649707
уд	0.0019081949658517148
ту	0.0017432123668465911
ид	0.0017105271349682175
ля	0.0017105271349682175
кр	0.0017089706953549615
св	0.0017043013765151939
сп	0.0016731725842500762
их	0.0016669468257970528
ок	0.0016653903861837968
 ж	0.0016607210673440292
ик	0.0016544953088910056
из	0.001649825990051238
си	0.0016436002315982144
дн	0.0016311487146921674
гл	0.0016155843185596086
ду	0.0016000199224270497
ож	0.0015844555262944909
ия	0.001568891130161932
 я	0.0015642218113221644
ты	0.0015362058982835583
яз	0.0015221979417642554
ку	0.0015128593040847202
зн	0.0015097464248582083
ый	0.0014926255891123937
ул	0.0014832869514328584
ым	0.001445932400714717
ее	0.0014381502026484375
ры	0.001422585806515879
ут	0.001419472927289367
иц	0.0014132471688363434
ий	0.0014116907292230877
са	0.0014023520915435522
ят	0.0013992392123170405
ус	0.0013836748161844816
ша	0.0013634411012121552
лс	0.0013463202654663403
гр	0.0013447638258530846
вн	0.001340094507013317
жа	0.0013354251881735493
ев	0.0013183043524277345
оч	0.0013151914732012228
ош	0.0012856191205493609
р 	0.0012684982848035463
уж	0.0012513774490577315
вш	0.0012373694925384285
уг	0.0012249179756323814
лы	0.0012109100191130785
бр	0.0011937891833672637
аж	0.001189119864527496
ще	0.0011797812268479607
лу	0.0011719990287816814
ич	0.0011642168307154019
чи	0.0011611039514888902
па	0.001151765313809355
бу	0.0011455395553563313
ба	0.0011408702365165637
 х	0.001122192961157493
з 	0.0011206365215442372
нд	0.0011175236423177253
мн	0.0011159672027044696
жи	0.0010926206085056312
оп	0.0010926206085056312
ьк	0.0010879512896658635
д 	0.0010879512896658635
зь	0.001083281970826096
ез	0.0010801690915995842
це	0.0010708304539200487
ыв	0.0010614918162405135
ря	0.0010537096181742341
еб	0.001041258101268187
га	0.00102880658436214
ех	0.00102880658436214
жн	0.0010194679466826045
ьн	0.00100234711093679
ую	9.930084732572547E-4
нь	9.930084732572547E-4
ук	9.86782714804231E-4
ек	9.836698355777192E-4
 ш	9.805569563512075E-4
ум	9.790005167379515E-4
см	9.696618790584163E-4
аш	9.696618790584163E-4
ах	9.665489998319046E-4
ха	9.649925602186486E-4
аг	9.478717244728339E-4
еп	9.369766471800427E-4
вл	9.291944491137633E-4
еж	9.291944491137633E-4
ье	9.18299371820972E-4
дв	9.136300529812044E-4
еч	8.933963380088779E-4
ые	8.887270191691103E-4
тн	8.747190626498074E-4
ял	8.731626230365514E-4
ьс	8.716061834232956E-4
оз	8.716061834232956E-4
яс	8.638239853570161E-4
гд	8.607111061305043E-4
уз	8.575982269039926E-4
ых	8.544853476774808E-4
ае	8.544853476774808E-4
г 	8.404773911581779E-4
ув	8.311387534786426E-4
лю	8.202436761858514E-4
ги	8.109050385063161E-4
тс	8.046792800532925E-4
рь	7.968970819870131E-4
ву	7.906713235339895E-4
лк	7.813326858544542E-4
гу	7.797762462411984E-4
ои	7.782198066279424E-4
 ф	7.751069274014307E-4
аю	7.735504877881748E-4
ыс	7.719940481749189E-4
ай	7.579860916556159E-4
уш	7.517603332025924E-4
бл	7.517603332025924E-4
зв	7.486474539760806E-4
пи	7.455345747495689E-4
сс	7.43978135136313E-4
би	7.330830578435218E-4
ою	7.31526618230266E-4
ач	7.284137390037542E-4
ап	7.268572993904982E-4
су	7.159622220977071E-4
еш	7.159622220977071E-4
яд	7.097364636446835E-4
пл	7.081800240314277E-4
сн	7.019542655784041E-4
уч	6.879463090591012E-4
зо	6.848334298325894E-4
пу	6.786076713795658E-4
ир	6.661561544735187E-4
аб	6.614868356337511E-4
зд	6.614868356337511E-4
сё	6.583739564072393E-4
ды	6.537046375674717E-4
йс	6.49035318727704E-4
щи	6.443659998879364E-4
ещ	6.428095602746804E-4
рн	6.412531206614246E-4
рт	6.381402414349128E-4
фи	6.303580433686334E-4
ё 	6.256887245288657E-4
ии	6.256887245288657E-4
жд	6.241322849156099E-4
мы	6.194629660758421E-4
оя	6.147936472360745E-4
дл	6.08567888783051E-4
ян	6.007856907167716E-4
нт	5.94559932263748E-4
пь	5.836648549709568E-4
чу	5.696568984516539E-4
ур	5.68100458838398E-4
ге	5.68100458838398E-4
нц	5.649875796118862E-4
ца	5.618747003853744E-4
уп	5.447538646395597E-4
ох	5.385281061865362E-4
ыт	5.307459081202567E-4
зы	5.291894685070009E-4
ыш	5.151815119876979E-4
вз	5.105121931479302E-4
яж	5.073993139214184E-4
зя	5.073993139214184E-4
уб	5.058428743081626E-4
аф	5.058428743081626E-4
ыб	4.949477970153714E-4
тя	4.87165598949092E-4
цу	4.856091593358361E-4
дь	4.824962801093243E-4
иб	4.824962801093243E-4
