2грамма	частота*100000
то	1605,3097
ст	1276,2342
ов	1206,8575
на	1200,9216
ал	1085,9121
го	1075,5241
не	1062,5392
он	1029,5203
ко	1023,9554
ос	1008,7444
ра	1006,5184
но	1006,1474
по	1001,6955
ен	948,2717
ка	927,1248
от	892,6220
во	872,9590
ер	861,8291
ол	854,0381
ло	841,7952
ни	828,4392
ор	795,7914
ли	793,1944
ро	775,7575
ла	770,5635
ан	767,5955
ел	740,8836
пр	714,1718
ва	691,1699
ре	684,4919
ом	663,7160
ат	652,9570
ак	650,7311
та	649,6181
од	647,0211
за	637,7461
ри	629,9551
ас	626,9872
ог	624,3902
ил	615,4862
ав	592,8553
ес	591,7423
ть	576,5314
ск	575,7894
ин	564,6594
те	554,6425
ис	542,0285
ем	539,4316
ве	524,9626
ив	518,2847
аз	514,9457
об	506,4127
де	505,2997
ет	494,1698
ми	484,8948
да	483,4108
ле	475,2488
мо	474,8778
ит	464,1189
же	445,1980
ег	444,4560
ти	441,1170
ой	433,3260
ви	430,3581
бы	426,6481
вс	426,2771
ам	415,1471
ль	414,4051
до	410,6951
чт	404,3882
им	399,9362
ня	398,8232
нн	392,5162
ед	386,2093
ар	380,2733
сь	376,9343
ны	374,7083
ру	371,7403
оп	359,1264
ся	358,3844
че	356,9004
ая	353,1904
тр	352,4484
ну	342,0605
ие	340,5765
ев	337,2375
ме	337,2375
ад	333,5275
ма	329,8175
ди	329,0755
се	327,5915
кн	318,6876
ки	314,9776
ик	314,2356
со	312,3806
вы	310,5256
ое	305,3316
ок	305,3316
еп	304,9606
тв	300,8796
ид	293,8307
сл	293,4597
хо	286,4107
пе	285,2977
ап	281,5877
му	280,8457
ей	276,3937
уд	266,3768
ше	266,3768
бо	266,0058
оч	259,3278
ыл	258,5858
ип	255,6178
из	255,2468
эт	248,5689
ча	245,6009
лс	244,4879
др	243,0039
оо	240,4069
ус	232,2449
ши	232,2449
св	231,8739
ьн	227,4220
ои	227,4220
ту	227,0510
ян	226,6800
бе	226,3090
яс	224,8250
ож	224,8250
ят	224,4540
кр	224,4540
ио	221,4860
сп	220,0020
ьс	217,0340
