2грамма	частота
то	0.01323590205383962
ст	0.013034010684215077
на	0.011770587311604352
ен	0.01062733737329395
но	0.010597694592833204
по	0.01054561943796973
ко	0.010209133821928828
он	0.009389551000000627
ка	0.00917724459940339
не	0.009034638790700341
ов	0.008943306980632096
ни	0.008686135831229406
ос	0.00867652195648538
ра	0.008571570490529765
го	0.008535518460239668
ер	0.008450595900000774
ро	0.008450595900000774
ли	0.008323212059642432
от	0.008268733436092952
ет	0.008021176161434287
ал	0.007989931068516204
во	0.007698310201280753
ол	0.007173552871502678
ор	0.007046970187373005
ес	0.007000503126110213
пр	0.0069908892513661875
ом	0.0068987562850692736
ре	0.006769770132253594
од	0.006706478790188757
ан	0.0066576082602399595
ла	0.006595919230632461
та	0.00657589032491574
ин	0.006572685700001065
ло	0.006543042919540319
ис	0.006445301859642723
ак	0.006441296078499379
те	0.006294684488652985
ве	0.006215370022014772
ас	0.006079974619369742
ва	0.006075167681997729
ел	0.006057542244967015
ри	0.005856452031571142
ог	0.005604087819540465
ле	0.005585661226281082
ит	0.005529580290274265
ат	0.005415816105803293
да	0.005405401074830598
ил	0.005378962919284527
ив	0.005352524763738456
за	0.005317273889677028
ти	0.00521472589240742
ть	0.005129803332168525
ам	0.00511938830119583
ми	0.005108172113994467
ны	0.005093751301878428
ск	0.005063307365189013
де	0.005060102740274338
ем	0.00504488077192963
мо	0.004967969773977424
ой	0.004892661088482555
ав	0.004817352402987686
об	0.004809340840700998
ки	0.004528135004438243
ль	0.004464042506144738
ме	0.004395944226707888
ед	0.00426615691766354
до	0.0042108771378853915
ар	0.004115539546673802
им	0.004085095609984387
ег	0.004029815830206239
се	0.0039785418315714345
ик	0.003932074770308643
же	0.00388640886527451
нн	0.00388640886527451
аз	0.0038679822720151173
ся	0.0038359360228683473
ма	0.0038343337104110088
ок	0.003787866649148192
тр	0.0037630308060594454
ви	0.0037053475575952594
оп	0.003653272402731758
че	0.003573957936093502
ев	0.0035178770000866546
ад	0.0035106665940286314
вс	0.003487433063397223
тв	0.0034321532836190448
со	0.0034121243779023135
сл	0.0032374723200524168
бы	0.003158157853414161
ди	0.003155754384728153
из	0.0031309185416394064
ап	0.0030892584177486053
ая	0.003082048011690582
еп	0.003039586731571112
ну	0.003039586731571112
ие	0.002948254921502817
ру	0.0029394422029874554
ей	0.002903390172697339
вы	0.0028857647356666156
ае	0.002746363551878166
бо	0.00272072655256075
ое	0.002718323083874742
ип	0.002715118458960065
лу	0.0026718560226119256
му	0.0026686513976972486
оч	0.002650224804437856
бе	0.0026462190232945096
тс	0.0026430143983798325
чт	0.002546074494710853
ек	0.002546074494710853
хо	0.002539665244881499
пе	0.002535659463738153
ид	0.0024867889337893286
ож	0.002475572746587959
ку	0.0024739704341306206
св	0.0024411230287551813
кр	0.0024218952792671193
ый	0.0024194918105811115
дн	0.0024130825607517575
сь	0.0024042698422363958
ут	0.0024026675297790573
уд	0.0023962582799497032
эт	0.0023682178119462795
ля	0.0023425808126288634
ус	0.002338575031485517
ум	0.0023337680941135017
па	0.0023305634691988247
сп	0.002302523001195401
оз	0.002274482533191977
ьн	0.002244839752731215
их	0.0022240096907858143
си	0.002216799284727791
ез	0.0022159981284991218
ше	0.0021951680665537212
тн	0.0021519056302055817
ча	0.0021487010052909047
еб	0.0021478998490622354
ту	0.002134280193174858
бл	0.002120660537287481
ят	0.002115052443686796
чи	0.002098228162884742
ии	0.002063778445051964
ду	0.002027726414761848
мн	0.0019820605097277005
са	0.0019812593534990312
ои	0.0019756512598983465
ые	0.0019371957609222224
ия	0.0019299853548641992
ян	0.0019155645427481527
ир	0.0018883252309733981
еч	0.001859483606741305
ты	0.0018506708882259433
яс	0.001827437357594535
ио	0.0018162211703931655
га	0.0018130165454784885
ул	0.0017977945771337728
ши	0.001782572608789057
аб	0.0017745610465023645
лс	0.0017713564215876875
ым	0.0017593390781576487
гл	0.00174732173472761
бр	0.0017433159535842637
зн	0.0017232870478675324
ич	0.001708866235751486
ее	0.0017064627670654781
ыл	0.0017016558296934626
ах	0.0016992523610074549
ще	0.0016960477360927779
вн	0.0016840303926627391
ьс	0.0016623991744886693
иб	0.0016503818310586306
жи	0.0016495806748299613
оо	0.0016479783623726228
яв	0.001645574893686615
ыв	0.0016399668000859303
уж	0.0016319552377992378
сн	0.001613528644539845
ры	0.0016055170822531525
ук	0.001587891645222429
аг	0.0015830847078504135
ун	0.0015806812391644057
рн	0.001575073145563721
уп	0.0015742719893350517
ня	0.0015606523334476745
нс	0.0015550442398469897
ых	0.001552640771160982
аж	0.0015286060843009044
ьк	0.0014997644600688114
йс	0.0014941563664681266
ео	0.0014837413354954264
аи	0.0014829401792667571
ий	0.0014765309294374031
нт	0.0014500927738913178
иг	0.0014388765866899483
ач	0.0014332684930892636
яп	0.001428461555717248
сс	0.0014260580870312403
тк	0.0014236546183452325
гр	0.0014164442122872093
бу	0.0014100349624578553
гд	0.001396415306570478
уч	0.0013683748385670542
лл	0.0013627667449663695
пи	0.0013491470890789922
ря	0.001338732058106292
аю	0.001313095058788876
рт	0.0013058846527308527
ао	0.0012946684655294831
мп	0.0012818499658707751
уг	0.0012786453409560981
ув	0.0012778441847274289
ба	0.0012722360911267441
еи	0.0012706337786694056
яд	0.0012650256850687209
йн	0.001259417591468036
кл	0.0012578152790106976
ай	0.0012570141227820283
пл	0.0012393886857513048
др	0.0012377863732939663
уб	0.001227371342321266
ую	0.0012265701860925968
ке	0.0012193597800345735
ыс	0.0012153539988912273
мс	0.001214552842662558
дв	0.0012105470615192118
нь	0.0012097459052905425
зв	0.0012041378116898578
щи	0.00120173434300385
жа	0.001195325093174496
см	0.0011873135308878035
йп	0.001185711218430465
чн	0.0011801031248297802
лю	0.0011801031248297802
су	0.0011785008123724417
жд	0.001176097343686434
мы	0.0011648811564850645
аш	0.0011584719066557105
як	0.0011488580319116795
це	0.0011448522507683332
кт	0.0011208175639082557
еж	0.0010823620649321316
ша	0.0010783562837887854
иц	0.0010663389403587466
ги	0.001064736627901408
вп	0.0010399007848126613
пу	0.0010350938474406458
вл	0.001032690378754638
оя	0.0010278834413826226
ош	0.0010214741915532686
ям	0.001016667254181253
ур	0.0010158660979525838
нд	0.001013462629266576
рд	0.0010118603168092375
зо	9.998429733791988E-4
ют	9.966383484645218E-4
лн	9.926325673211755E-4
дл	9.918314110925063E-4
мв	9.766094427477905E-4
ьп	9.742059740617829E-4
лы	9.653932555464211E-4
еш	9.557793808023901E-4
зд	9.541770683450516E-4
ау	9.533759121163823E-4
би	9.461655060583591E-4
нк	9.461655060583591E-4
жн	9.453643498296898E-4
вр	9.413585686863436E-4
лк	9.33347006399651E-4
ех	9.325458501709818E-4
ьв	9.309435377136433E-4
кс	9.30142381484974E-4
вк	9.245342878842893E-4
оу	9.245342878842893E-4
тп	9.20528506740943E-4
ох	9.197273505122738E-4
ву	9.133181006829198E-4
