2грамма	частота*100000
о 	2046,7181
и 	1711,7723
а 	1645,7792
е 	1580,7201
 п	1541,4978
 с	1523,7544
 в	1500,4078
 н	1456,2049
то	1321,1059
 о	1207,1746
 к	1104,1383
 и	1094,4883
я 	1069,2740
ст	1047,7951
ь 	1026,3163
на	1002,6584
го	895,5754
ал	882,1900
не	860,3998
по	841,4113
но	833,9403
ко	826,4694
ра	824,6017
ов	800,0100
л 	784,7569
й 	750,2039
 б	735,5734
ка	730,9040
м 	727,7912
ер	689,8140
ол	689,5027
во	688,2576
 д	686,7012
ро	685,1447
он	677,0512
 т	670,2029
ни	666,7787
от	663,3546
ен	658,9965
у 	656,1949
ос	644,9886
ла	637,2064
ло	628,1790
ли	621,0194
ор	614,7936
в 	603,8986
ва	592,0696
пр	591,4471
ел	588,9567
ре	588,3342
 м	587,4003
за	549,1119
та	532,6136
 ч	522,6524
 г	520,7847
ан	514,2476
ри	502,1074
ил	501,4848
ть	496,8155
к 	482,8076
ск	478,4495
ом	472,5351
ат	466,6206
те	461,9513
н 	455,1029
ог	453,5465
 р	441,4063
т 	439,2273
од	437,3595
ы 	435,4918
ак	433,0015
де	422,7290
ве	416,5032
аз	401,5614
 з	397,8260
да	393,4679
ем	380,3938
 у	379,7713
же	376,6584
бы	375,4132
ет	368,5649
ас	367,6310
 е	367,3197
ой	366,3859
ле	364,2069
ми	352,0666
до	351,1328
ти	339,9264
мо	339,9264
ес	339,6151
ль	338,0587
ег	335,2571
сь	332,7668
ня	332,7668
ав	332,1442
ю 	331,2103
ит	330,5878
ви	327,1636
чт	324,9846
ин	320,0040
ся	318,4475
х 	315,6460
ру	310,9766
ны	308,7976
с 	302,8831
 а	298,2138
об	291,3655
че	288,8752
ая	288,8752
вс	288,2526
нн	285,7623
ма	284,5172
ди	278,2914
ис	275,1785
им	274,2447
ме	273,3108
тр	271,1318
 л	270,5092
ар	267,3963
ки	265,8399
се	265,5286
вы	265,2173
ам	262,4157
ну	258,6803
ив	256,8125
 э	251,8319
со	247,4739
ед	245,6062
пе	237,5127
ие	233,7772
хо	230,6644
сл	225,0612
ей	223,1934
бо	222,5709
ше	218,2128
кн	216,9677
ад	214,4774
ча	211,6758
му	210,4306
эт	209,8081
тв	208,8742
ое	205,7613
ыл	205,1387
др	202,3371
бе	196,1114
уд	192,3759
ши	187,7066
ту	177,1228
ля	176,5003
кр	174,9438
св	171,5196
ид	170,8971
из	169,0293
сп	167,4729
ия	167,1616
ик	165,9165
ок	165,6052
их	163,7374
 ж	163,1149
ду	162,8036
ож	160,0020
си	158,4456
гл	158,4456
ты	157,5117
дн	154,0875
ый	153,1537
 я	150,0408
зн	149,4182
яз	148,4843
ку	146,6166
ул	145,6827
ут	145,3715
жа	142,5699
иц	142,5699
ий	142,2586
ым	141,3247
ус	140,7021
ее	140,3909
вн	139,7683
са	138,5231
гр	138,2118
ры	136,6554
ев	136,6554
ят	133,8538
оч	131,9861
лс	130,1184
ош	130,1184
ша	129,4958
уж	128,2506
бр	128,2506
р 	126,6942
вш	124,5152
уг	122,0249
чи	121,7136
па	120,1571
аж	116,1104
