2грамма	частота
о 	0.018897114647823048
е 	0.016974678609325073
а 	0.01649919939774221
и 	0.015934921613162845
 в	0.015381610983017312
 с	0.015279368801359985
 п	0.015215334770633424
 н	0.013796326498565816
то	0.012077667265031925
ст	0.011589452003138807
 о	0.01142105311570321
на	0.010450636837896815
я 	0.009728219761965114
ь 	0.009491895272874822
но	0.009274321080074628
 к	0.008869951482724023
 и	0.008740114525394476
по	0.0085267856826977
ко	0.008402962971347997
не	0.008220412916901005
м 	0.008162039352979001
й 	0.008075363455034209
ен	0.007936328239147255
ра	0.007700711308407806
го	0.00762854035664987
ни	0.0075252368374669415
ал	0.0075224066040646695
ро	0.00705647943021564
 б	0.006981832024230716
 д	0.0068933872304097156
ка	0.006847395937622795
 т	0.006808480228341555
ов	0.006663076987299831
во	0.006636189769978247
ли	0.006577462426881103
он	0.0065417307301774185
пр	0.006484772282956694
 м	0.006438073431819206
ос	0.00635705800067917
от	0.006281703036343678
ре	0.006199980046853073
ло	0.006135946016126669
у 	0.006008231733849145
в 	0.006007877954673861
ва	0.006007170396323293
л 	0.005812238070741808
ер	0.005780751724141532
та	0.005747496481664836
ол	0.005723793276920808
ет	0.005617305745160324
ве	0.0055769749191779475
ть	0.005498082163089615
т 	0.005438647261641903
ел	0.005408929810918047
ор	0.005358339388852435
од	0.005339589092562383
ла	0.005327914379778011
ом	0.005229917548224342
ри	0.005097250357492842
те	0.004980149450473838
ан	0.004900195356859653
ес	0.004861633426753697
н 	0.004789108695820477
ы 	0.004683682501585845
 ч	0.0046185871333335885
де	0.00458780834508388
ог	0.004557383336009456
за	0.004547831298276788
ле	0.004544293506523948
ил	0.00453474146879128
ль	0.004453018479300676
ат	0.00442683882032966
 у	0.00435431408939644
 з	0.0042906338378453195
к 	0.004257024816193339
ем	0.004153013738659843
ой	0.004136386117421495
 г	0.004133555884019223
да	0.004104545991645935
ак	0.004076597436798499
ти	0.004051832894528619
ны	0.0040015962516382906
ас	0.003945345362768134
до	0.003826829339047994
ся	0.003802064796778114
ар	0.003779422929559938
 р	0.003772701125229542
об	0.0036888554606872336
бы	0.0036488784138801415
х 	0.0035997031085156653
ме	0.0035997031085156653
 е	0.0035809528122256132
се	0.003515503664798073
ит	0.003511258314694665
че	0.003504182731188985
ск	0.003454299867473941
ин	0.0034153841581927007
ав	0.0033499350107651605
мо	0.0033414443105583445
же	0.003205239328074004
нн	0.003126700351160956
 э	0.0031033509255922118
аз	0.0030481613742479076
ег	0.0030439160241444996
ам	0.0029926180437283194
ма	0.0029745753057888354
ед	0.0029342444798064592
эт	0.0029296453505277672
им	0.002795916822270415
сл	0.0027831807719601908
ви	0.0027516944253599147
с 	0.0027340054665957146
сь	0.0027233920913371946
тв	0.0027113635993775385
ми	0.0026954435364897585
ис	0.0026766932401997064
тр	0.0026646647482400504
со	0.0026501598020534064
чт	0.002587540888028138
 л	0.002586479550502286
 ж	0.002555346983077294
ну	0.002541903374416502
ки	0.002529521103281562
ди	0.00249308184822731
вс	0.002490251614825038
ю 	0.0024661946309057258
ру	0.0024056983919321616
ад	0.0023940236791477896
ие	0.0023784573954352935
жа	0.0023628911117227975
вы	0.0023625373325475135
бо	0.0023147771438841733
ик	0.002277984109654637
бе	0.002228101245939593
ив	0.002203690482844997
из	0.002192369549235909
ыл	0.002170789019543585
ей	0.002156284073356941
ше	0.0021113541180958727
ое	0.0021000331844867846
ок	0.0020929576009811046
ая	0.0020632401502572485
ча	0.0019811633815913603
дн	0.0019404787764336923
пе	0.0018987328337501546
му	0.0018789211999342384
ев	0.001831161011270869
сп	0.001827976998693311
кр	0.0018028586772481316
хо	0.0017848159393086364
оз	0.0017830470434322154
ый	0.0017819857059063627
св	0.001775971459926531
оч	0.001746607788377941
