2грамма	частота
и 	0.017487343442386845
а 	0.017027043626574062
о 	0.01687855981502155
 п	0.01632107059528349
 с	0.01584119791340242
е 	0.015524657424229116
 в	0.013943979757611026
 н	0.012609650232886875
ст	0.010794773099865507
то	0.01072728045825073
я 	0.010179240208338736
 о	0.009936266698525537
на	0.009846501485177883
 к	0.009482041220458084
 и	0.00939835034485576
по	0.008877982078005825
й 	0.008675504153161493
но	0.0086431076851864
ко	0.00828472175821193
м 	0.008130838535330238
ен	0.007831171206560626
ь 	0.007725882685641574
ка	0.007676613057262786
т 	0.007526104466461832
не	0.007524754613629537
 м	0.0074444383701079515
 д	0.007428915062536553
 б	0.00731147786612684
ра	0.007191340964052536
го	0.007152195231915965
 т	0.007133972218679975
ро	0.00702328428643174
ни	0.007012485463773375
ли	0.00673509070673664
ер	0.006691895416103182
он	0.006629802185817587
ал	0.00640437676282423
у 	0.006394927792998161
во	0.006164102958675622
от	0.006123607373706755
ет	0.006101334801973879
в 	0.005955550696085959
ов	0.005903581362042581
пр	0.005883333569558147
ол	0.005726075714595716
ре	0.005674781306968485
ос	0.005548570067148851
ор	0.005520898084086792
ла	0.005478377719869482
та	0.005427083312242251
ве	0.005139564658963299
ом	0.005107168190988206
ло	0.0050808460607584425
те	0.005049799445615645
ва	0.005024827168218177
л 	0.005001204743653005
од	0.0049337121020382275
ри	0.004842597035858278
ел	0.004775779320659648
н 	0.004731234177193895
ы 	0.0046272955091071375
да	0.004532130884430301
к 	0.004501084269287504
ле	0.00449905949003906
за	0.004457214052237898
ак	0.004425492510678953
 з	0.004422117878598214
ть	0.004321553842592195
ог	0.0043181792105114565
ны	0.0042911821538655455
ес	0.004237862966989871
 у	0.004236513114157576
де	0.004228413997163802
ил	0.004223689512250768
ан	0.004208841131095517
 г	0.004182519000865754
ин	0.004177794515952719
ой	0.004121775623412454
 р	0.004110301874337942
х 	0.004040109527058573
 ч	0.00402593607231947
ск	0.003976666443940682
ти	0.003938870564636407
ит	0.0038977000532513977
ль	0.0037606899907734873
ми	0.0037505660945312772
ат	0.003743816830369804
ис	0.003662825660432123
мо	0.0035872339018236206
 е	0.003576435079165263
ме	0.003572385520668379
ем	0.0035163666281281497
с 	0.0035096173639666763
ки	0.0034961188356437294
до	0.003475196116743162
ам	0.0034664220733332464
ас	0.003364508184494998
се	0.0032848668673896115
же	0.003261919369240602
ся	0.0031978013597066045
об	0.0031957765804581624
ма	0.003101961808613682
 л	0.003091837912371472
ар	0.003076314604800083
че	0.003009496889601496
тр	0.0030027476254400227
ег	0.002981824906539455
нн	0.00293997946873832
ед	0.0028677623422105544
ви	0.002863037857297523
ив	0.002839415432732366
аз	0.0028319912421547453
им	0.0026902566947638036
со	0.0026706838286955307
бы	0.0026605599324533206
сл	0.0026430118456334897
ю 	0.002570119792689577
ав	0.0025620206756958087
ди	0.0025593209700312193
ей	0.002440533920789287
ру	0.0024391840679569925
вы	0.0024310849509632244
 э	0.0024148867169756882
ну	0.002384515028249058
ая	0.0023305209149572705
ок	0.0023163474602181764
 а	0.0023008241526467875
вс	0.002270452463920157
бо	0.0022576288620133576
ик	0.0022252323940382852
ад	0.0022198329827091065
бе	0.0022178082034606645
тв	0.0021847368090694447
из	0.0021550400467589617
чт	0.0021422164448521622
лу	0.002139516739187573
пе	0.002134117327858394
ие	0.0020538010843368605
ый	0.0020382777767654716
сь	0.002025454174858672
му	0.00201330549936802
эт	0.0019930577068835997
па	0.001957961533243938
ку	0.0019478376370017263
ля	0.00193298925584648
кр	0.001920840580355824
 ж	0.001914766242610496
ое	0.0019005927878713972
хо	0.0018951933765422168
дн	0.00187494558405779
ае	0.0018546977915733633
ше	0.0018486234538280352
 я	0.0018371497047535267
св	0.0018250010292628707
ча	0.0018054281631945915
бл	0.0017804558857971318
ож	0.001771006915971066
чи	0.0017622328725611478
ут	0.001746709564989754
си	0.0017440098593251637
оч	0.001737260595163688
уд	0.001717687729095409
их	0.0017116133913500809
ду	0.0016771921441265554
р 	0.0016326470006608165
са	0.0016252228100831934
ту	0.0016204983251701605
ум	0.0016069997968472093
сп	0.0015881018571950777
ев	0.0015719036232075363
ты	0.0015590800213007327
 х	0.0015260086269095023
га	0.0015185844363318792
з 	0.0015152098042511414
тс	0.0015131850250026987
ые	0.0015037360551766329
д 	0.0014909124532698293
ши	0.0014895626004375342
гл	0.0014605407645431891
бр	0.0014598658381270416
ия	0.0014355684871457295
ще	0.001428819222984254
оз	0.0014220699588227783
ул	0.0014031720191706467
жи	0.001376849888940892
ус	0.0013694256983632688
оп	0.0013633513606179407
ек	0.0013545773172080225
ры	0.0013525525379595798
ыл	0.0013518776115434322
ят	0.0013498528322949896
зн	0.0013188062171522019
уж	0.001309357247326136
ез	0.0012843849699286764
ым	0.0012627873246119545
ня	0.001262112398195807
ах	0.0012607625453635119
ых	0.0012526634283697412
рн	0.0012506386491212985
ьн	0.0012432144585436753
ий	0.0012411896792952327
ид	0.0012243165188915437
 ш	0.0011939448301649036
тн	0.0011777465961773622
еч	0.0011770716697612146
гр	0.0011757218169289195
ее	0.0011736970376804768
бу	0.0011723471848481817
ир	0.0011419754961215416
гд	0.0011311766734631806
пи	0.001124427409301705
ря	0.001112278733811049
аж	0.001107554248898016
аю	0.0010778574865875235
мн	0.0010684085167614577
еб	0.0010677335903453101
ич	0.001066383737513015
ба	0.0010657088110968675
ай	0.0010569347676869492
рт	0.0010461359450285883
пл	0.0010407365336994078
лл	0.001032637416705637
сн	0.0010279129317926042
ую	0.001026563078960309
нь	0.001019138888382686
вн	0.0010123896242212104
щи	0.0010110397713889152
др	0.0010042905072274397
